#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
142,"CORALINE","Måneskin",65,162,"","Teatro d'ira - Vol. I",2021-03-19,05:00,36,68,3,0,32,10,30,-5,D Minor,4,2023-05-13,7HMz8o0m7ASQ3ImFPfhWTY,"undefined",7A,ITB002100113
143,"ZITTI E BUONI","Måneskin",67,103,"","Teatro d'ira - Vol. I",2021-03-19,03:14,63,94,0,0,64,0,40,-3,E Minor,4,2023-05-13,776AftMmFFAWUIEAb3lHhw,"undefined",9A,ITB002100112
144,"Dreams - 2004 Remaster","Fleetwood Mac",81,120,"rock clasic, soft rock","Rumours (Super Deluxe)",1977-02-04,04:17,83,49,6,0,79,0,10,-10,C Major,4,2023-05-13,0ofHAoxe9vBkTCp2UQIavz,"undefined",8B,USWB11301111
145,"Why'd You Only Call Me When You're High?","Arctic Monkeys",80,92,"indie, garage rock","AM",2013-09-09,02:41,69,63,5,0,80,0,10,-6,D Major,4,2023-05-13,086myS9r57YsLbJpU0TgK9,"undefined",10B,GBCEL1300370
146,"Sweater Weather","The Neighbourhood",86,124,"","I Love You.",2013-04-22,04:00,61,81,5,2,40,0,10,-3,A#/B♭ Major,4,2023-05-13,2QjOHCTQ1Jl3zawyYOpxh6,"undefined",6B,USSM11300080
147,"Boys Don't Cry","The Cure",72,169,"new wave, post-punk, dark wave","Three Imaginary Boys",1979-05-11,02:35,46,84,1,0,67,0,10,-6,B Minor,4,2023-05-13,1QFh8OH1e78dGd3VyJZCAC,"undefined",10A,GBALB7800001
148,"I WANNA BE YOUR SLAVE","Måneskin",76,133,"","Teatro d'ira - Vol. I",2021-03-19,02:53,75,61,0,0,96,0,10,-4,C♯/D♭ Major,4,2023-05-13,4pt5fDVTg5GhEvEtlz9dKk,"undefined",3B,ITB002100115
149,"Tainted Love","Soft Cell",74,144,"synthpop, new wave","Non-Stop Erotic Cabaret",1981-00-00,02:33,50,50,46,0,62,0,20,-8,C Minor,4,2023-05-13,0cGG2EouYCEEC3xfa0tDFV,"undefined",5A,GBF088100017
150,"Money, Money, Money","ABBA",66,121,"","Arrival",1976-00-00,03:06,79,70,54,0,65,0,0,-7,A Minor,4,2023-05-13,3lKN03PDeBnXZS7sDukRBt,"undefined",8A,SEAYD7601060
151,"Rasputin - Single Version","Boney M.",60,126,"disco","Fantastic Boney M.",1984-12-03,03:40,69,72,47,0,97,0,40,-13,F#/G♭ Minor,4,2023-05-13,67hbP9PFQZrb4XZc3TzB0s,"undefined",11A,DED167800002
152,"Supergirl","Reamonn",53,116,"","Tuesday",2000-01-01,04:06,66,52,14,1,38,0,0,-10,F#/G♭ Minor,4,2023-08-28,3FhNJaCNypOAnZccdYGAWN,"undefined",11A,DEG120000973
153,"Tonight","Reamonn",23,145,"","Eleven",2010-01-01,03:35,51,74,18,0,21,0,10,-5,E Minor,4,2023-08-28,6NJXIUeos06CvTakKzip45,"undefined",9A,DEUM71016257
154,"Poison Prince","Amy Macdonald",46,109,"","This Is The Life (eDeluxe)",2007-01-01,03:28,58,82,18,0,32,0,10,-5,C♯/D♭ Major,4,2023-08-28,3UjosM5JAiMOWldbeMkNLi,"undefined",3B,GBUM70700896
155,"BABY SAID","Måneskin",68,131,"","RUSH!",2023-01-20,02:44,62,72,0,0,61,0,0,-4,F#/G♭ Minor,4,2023-09-02,2KReCz1L5XkGIBhDncQ5VZ,"undefined",11A,ITB002200844
156,"TIMEZONE","Måneskin",57,75,"","RUSH!",2023-01-20,02:59,26,59,0,0,27,0,0,-4,C♯/D♭ Minor,3,2023-09-02,4Tbuh5q66Ygubei5Xru4jB,"undefined",12A,ITB002200842
157,"MARK CHAPMAN","Måneskin",47,173,"","RUSH!",2023-01-20,03:40,44,96,0,0,24,0,40,-2,E Minor,4,2023-09-02,1khwSRuqim7TyvlCD7WDyy,"undefined",9A,ITB002200851
158,"Dov'è l'amore","Cher",45,93,"","Believe",1998-00-00,04:18,67,81,33,0,60,0,10,-7,D Minor,4,2023-09-09,0pifkqN4kRVux0zXssE517,"undefined",7A,GBAHT9803036
159,"Lampa Arsa","Bosquito",19,135,"manele","Babylon",2014-08-29,03:39,85,60,14,0,85,0,0,-7,A Major,4,2023-09-18,0zredAIOWfV0ENyPk7IcIT,"undefined",11B,ROROT1421901
160,"Satelit","Bosquito",0,130,"manele","Satelit",2023-09-14,05:00,63,72,12,0,87,0,0,-7,C♯/D♭ Minor,4,2023-09-18,4TJVHclLr9rnfIlF1m1PWj,"undefined",12A,QZTAY2363087
161,"How Do You Sleep? - Acoustic","Sam Smith",42,82,"soft pop","How Do You Sleep? (Acoustic)",2019-08-16,03:25,58,28,62,0,52,0,10,-8,C♯/D♭ Minor,4,2023-10-21,2ZgUlizmH0VmOJzUwDchAf,"undefined",12A,GBUM71904154
162,"Two Princes","Spin Doctors",65,104,"","Pocket Full Of Kryptonite (Anniversary Edition)",1991-00-00,04:16,54,91,0,0,83,0,0,-11,G Major,4,2023-12-24,0cuq829zRNq4AEdmDJA4aw,"undefined",9B,USSM19000350
163,"The Middle","Jimmy Eat World",76,162,"emo, punk pop, emo pop","Bleed American",2001-07-17,02:45,64,85,4,0,90,0,0,-5,D Major,4,2023-12-24,6GG73Jik4jUlQCkKg9JuGO,"undefined",10B,USDW10110256
164,"Need You Tonight","INXS",69,109,"","Kick (Remastered 2011)",1987-00-00,03:01,80,63,4,57,79,0,0,-7,A#/B♭ Minor,4,2023-12-24,3h04eZTnmFLRMjZajbrp2R,"undefined",3A,GBAMX8700008
165,"Knee Socks","Arctic Monkeys",71,98,"indie, garage rock","AM",2013-09-09,04:17,67,54,12,0,59,0,30,-8,B Minor,4,2024-01-02,2LGdO5MtFdyphi2EihANZG,"undefined",10A,GBCEL1300372
